Groups:,,,,,,,,,,,,
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal,
,,,,,,,,,,,,
Data:,,,,,,,,,,,,
time unit: s, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1,788,1,1,0,0,0,1,0,1,0,0, 
2,788,1,1,0,0,0,1,0,1,0,0, 
3,788,1,1,0,0,0,1,0,1,0,0, 
4,790,1,1,0,0,0,1,0,1,1,0, 
5,790,1,1,0,0,0,1,0,1,1,0, 
6,790,1,1,0,0,0,1,0,1,1,0, 
7,790,1,1,0,0,0,1,0,1,1,0, 
8,790,1,1,0,0,0,1,0,1,1,0, 
9,792,1,1,0,0,0,1,1,0,0,0, 
10,792,1,1,0,0,0,1,1,0,0,0, 
11,792,1,1,0,0,0,1,1,0,0,0, 
12,792,1,1,0,0,0,1,1,0,0,0, 
13,792,1,1,0,0,0,1,1,0,0,0, 
14,794,1,1,0,0,0,1,1,0,1,0, 
15,794,1,1,0,0,0,1,1,0,1,0, 
16,794,1,1,0,0,0,1,1,0,1,0, 
17,794,1,1,0,0,0,1,1,0,1,0, 
18,794,1,1,0,0,0,1,1,0,1,0, 
19,796,1,1,0,0,0,1,1,1,0,0, 
20,796,1,1,0,0,0,1,1,1,0,0, 
21,796,1,1,0,0,0,1,1,1,0,0, 
22,796,1,1,0,0,0,1,1,1,0,0, 
23,796,1,1,0,0,0,1,1,1,0,0, 
24,798,1,1,0,0,0,1,1,1,1,0, 
25,798,1,1,0,0,0,1,1,1,1,0, 
26,798,1,1,0,0,0,1,1,1,1,0, 
27,798,1,1,0,0,0,1,1,1,1,0, 
28,798,1,1,0,0,0,1,1,1,1,0, 
29,800,1,1,0,0,1,0,0,0,0,0, 
30,800,1,1,0,0,1,0,0,0,0,0, 
31,800,1,1,0,0,1,0,0,0,0,0, 
32,800,1,1,0,0,1,0,0,0,0,0, 
33,800,1,1,0,0,1,0,0,0,0,0, 
34,802,1,1,0,0,1,0,0,0,1,0, 
35,802,1,1,0,0,1,0,0,0,1,0, 
36,802,1,1,0,0,1,0,0,0,1,0, 
37,802,1,1,0,0,1,0,0,0,1,0, 
38,802,1,1,0,0,1,0,0,0,1,0, 
39,804,1,1,0,0,1,0,0,1,0,0, 
40,804,1,1,0,0,1,0,0,1,0,0, 
41,804,1,1,0,0,1,0,0,1,0,0, 
42,804,1,1,0,0,1,0,0,1,0,0, 
43,804,1,1,0,0,1,0,0,1,0,0, 
44,806,1,1,0,0,1,0,0,1,1,0, 
45,806,1,1,0,0,1,0,0,1,1,0, 
46,806,1,1,0,0,1,0,0,1,1,0, 
47,806,1,1,0,0,1,0,0,1,1,0, 
48,808,1,1,0,0,1,0,1,0,0,0, 
49,808,1,1,0,0,1,0,1,0,0,0, 
50,808,1,1,0,0,1,0,1,0,0,0, 
51,808,1,1,0,0,1,0,1,0,0,0, 
52,808,1,1,0,0,1,0,1,0,0,0, 
53,810,1,1,0,0,1,0,1,0,1,0, 
54,810,1,1,0,0,1,0,1,0,1,0, 
55,810,1,1,0,0,1,0,1,0,1,0, 
56,810,1,1,0,0,1,0,1,0,1,0, 
57,810,1,1,0,0,1,0,1,0,1,0, 
58,812,1,1,0,0,1,0,1,1,0,0, 
59,812,1,1,0,0,1,0,1,1,0,0, 
60,812,1,1,0,0,1,0,1,1,0,0, 
61,812,1,1,0,0,1,0,1,1,0,0, 
62,812,1,1,0,0,1,0,1,1,0,0, 
63,814,1,1,0,0,1,0,1,1,1,0, 
64,814,1,1,0,0,1,0,1,1,1,0, 
65,814,1,1,0,0,1,0,1,1,1,0, 
66,814,1,1,0,0,1,0,1,1,1,0, 
67,814,1,1,0,0,1,0,1,1,1,0, 
68,816,1,1,0,0,1,1,0,0,0,0, 
69,816,1,1,0,0,1,1,0,0,0,0, 
70,816,1,1,0,0,1,1,0,0,0,0, 
71,816,1,1,0,0,1,1,0,0,0,0, 
72,816,1,1,0,0,1,1,0,0,0,0, 
73,818,1,1,0,0,1,1,0,0,1,0, 
74,818,1,1,0,0,1,1,0,0,1,0, 
75,818,1,1,0,0,1,1,0,0,1,0, 
76,818,1,1,0,0,1,1,0,0,1,0, 
77,818,1,1,0,0,1,1,0,0,1,0, 
78,820,1,1,0,0,1,1,0,1,0,0, 
79,820,1,1,0,0,1,1,0,1,0,0, 
80,820,1,1,0,0,1,1,0,1,0,0, 
81,820,1,1,0,0,1,1,0,1,0,0, 
82,820,1,1,0,0,1,1,0,1,0,0, 
83,822,1,1,0,0,1,1,0,1,1,0, 
84,822,1,1,0,0,1,1,0,1,1,0, 
85,822,1,1,0,0,1,1,0,1,1,0, 
86,822,1,1,0,0,1,1,0,1,1,0, 
87,822,1,1,0,0,1,1,0,1,1,0, 
88,824,1,1,0,0,1,1,1,0,0,0, 
89,824,1,1,0,0,1,1,1,0,0,0, 
90,824,1,1,0,0,1,1,1,0,0,0, 
91,824,1,1,0,0,1,1,1,0,0,0, 
92,826,1,1,0,0,1,1,1,0,1,0, 
93,826,1,1,0,0,1,1,1,0,1,0, 
94,826,1,1,0,0,1,1,1,0,1,0, 
95,826,1,1,0,0,1,1,1,0,1,0, 
96,826,1,1,0,0,1,1,1,0,1,0, 
97,828,1,1,0,0,1,1,1,1,0,0, 
98,828,1,1,0,0,1,1,1,1,0,0, 
99,828,1,1,0,0,1,1,1,1,0,0, 
100,828,1,1,0,0,1,1,1,1,0,0, 
101,828,1,1,0,0,1,1,1,1,0,0, 
102,830,1,1,0,0,1,1,1,1,1,0, 
103,830,1,1,0,0,1,1,1,1,1,0, 
104,830,1,1,0,0,1,1,1,1,1,0, 
105,830,1,1,0,0,1,1,1,1,1,0, 
106,830,1,1,0,0,1,1,1,1,1,0, 
107,832,1,1,0,1,0,0,0,0,0,0, 
108,832,1,1,0,1,0,0,0,0,0,0, 
109,832,1,1,0,1,0,0,0,0,0,0, 
110,832,1,1,0,1,0,0,0,0,0,0, 
111,832,1,1,0,1,0,0,0,0,0,0, 
112,834,1,1,0,1,0,0,0,0,1,0, 
113,834,1,1,0,1,0,0,0,0,1,0, 
114,834,1,1,0,1,0,0,0,0,1,0, 
115,834,1,1,0,1,0,0,0,0,1,0, 
116,834,1,1,0,1,0,0,0,0,1,0, 
117,836,1,1,0,1,0,0,0,1,0,0, 
118,836,1,1,0,1,0,0,0,1,0,0, 
119,836,1,1,0,1,0,0,0,1,0,0, 
120,836,1,1,0,1,0,0,0,1,0,0, 
121,836,1,1,0,1,0,0,0,1,0,0, 
122,838,1,1,0,1,0,0,0,1,1,0, 
123,838,1,1,0,1,0,0,0,1,1,0, 
124,838,1,1,0,1,0,0,0,1,1,0, 
125,838,1,1,0,1,0,0,0,1,1,0, 
126,838,1,1,0,1,0,0,0,1,1,0, 
127,840,1,1,0,1,0,0,1,0,0,0, 
128,840,1,1,0,1,0,0,1,0,0,0, 
129,840,1,1,0,1,0,0,1,0,0,0, 
130,840,1,1,0,1,0,0,1,0,0,0, 
131,842,1,1,0,1,0,0,1,0,1,0, 
132,842,1,1,0,1,0,0,1,0,1,0, 
133,842,1,1,0,1,0,0,1,0,1,0, 
134,842,1,1,0,1,0,0,1,0,1,0, 
135,842,1,1,0,1,0,0,1,0,1,0, 
136,844,1,1,0,1,0,0,1,1,0,0, 
137,844,1,1,0,1,0,0,1,1,0,0, 
138,844,1,1,0,1,0,0,1,1,0,0, 
139,844,1,1,0,1,0,0,1,1,0,0, 
140,844,1,1,0,1,0,0,1,1,0,0, 
141,846,1,1,0,1,0,0,1,1,1,0, 
142,846,1,1,0,1,0,0,1,1,1,0, 
143,846,1,1,0,1,0,0,1,1,1,0, 
144,846,1,1,0,1,0,0,1,1,1,0, 
145,846,1,1,0,1,0,0,1,1,1,0, 
146,848,1,1,0,1,0,1,0,0,0,0, 
147,848,1,1,0,1,0,1,0,0,0,0, 
148,848,1,1,0,1,0,1,0,0,0,0, 
149,848,1,1,0,1,0,1,0,0,0,0, 
150,848,1,1,0,1,0,1,0,0,0,0, 
151,850,1,1,0,1,0,1,0,0,1,0, 
152,850,1,1,0,1,0,1,0,0,1,0, 
153,850,1,1,0,1,0,1,0,0,1,0, 
154,850,1,1,0,1,0,1,0,0,1,0, 
155,850,1,1,0,1,0,1,0,0,1,0, 
156,852,1,1,0,1,0,1,0,1,0,0, 
157,852,1,1,0,1,0,1,0,1,0,0, 
158,852,1,1,0,1,0,1,0,1,0,0, 
159,852,1,1,0,1,0,1,0,1,0,0, 
160,852,1,1,0,1,0,1,0,1,0,0, 
161,854,1,1,0,1,0,1,0,1,1,0, 
162,854,1,1,0,1,0,1,0,1,1,0, 
163,854,1,1,0,1,0,1,0,1,1,0, 
164,854,1,1,0,1,0,1,0,1,1,0, 
165,854,1,1,0,1,0,1,0,1,1,0, 
166,856,1,1,0,1,0,1,1,0,0,0, 
167,856,1,1,0,1,0,1,1,0,0,0, 
168,856,1,1,0,1,0,1,1,0,0,0, 
169,856,1,1,0,1,0,1,1,0,0,0, 
170,856,1,1,0,1,0,1,1,0,0,0, 
171,858,1,1,0,1,0,1,1,0,1,0, 
172,858,1,1,0,1,0,1,1,0,1,0, 
173,858,1,1,0,1,0,1,1,0,1,0, 
174,858,1,1,0,1,0,1,1,0,1,0, 
175,860,1,1,0,1,0,1,1,1,0,0, 
176,860,1,1,0,1,0,1,1,1,0,0, 
177,860,1,1,0,1,0,1,1,1,0,0, 
178,860,1,1,0,1,0,1,1,1,0,0, 
179,860,1,1,0,1,0,1,1,1,0,0, 
180,862,1,1,0,1,0,1,1,1,1,0, 
181,862,1,1,0,1,0,1,1,1,1,0, 
182,862,1,1,0,1,0,1,1,1,1,0, 
183,862,1,1,0,1,0,1,1,1,1,0, 
184,862,1,1,0,1,0,1,1,1,1,0, 
185,864,1,1,0,1,1,0,0,0,0,0, 
186,864,1,1,0,1,1,0,0,0,0,0, 
187,864,1,1,0,1,1,0,0,0,0,0, 
188,864,1,1,0,1,1,0,0,0,0,0, 
189,864,1,1,0,1,1,0,0,0,0,0, 
190,866,1,1,0,1,1,0,0,0,1,0, 
191,866,1,1,0,1,1,0,0,0,1,0, 
192,866,1,1,0,1,1,0,0,0,1,0, 
193,866,1,1,0,1,1,0,0,0,1,0, 
194,866,1,1,0,1,1,0,0,0,1,0, 
195,868,1,1,0,1,1,0,0,1,0,0, 
196,868,1,1,0,1,1,0,0,1,0,0, 
197,868,1,1,0,1,1,0,0,1,0,0, 
198,868,1,1,0,1,1,0,0,1,0,0, 
199,868,1,1,0,1,1,0,0,1,0,0, 
200,870,1,1,0,1,1,0,0,1,1,0, 
201,870,1,1,0,1,1,0,0,1,1,0, 
202,870,1,1,0,1,1,0,0,1,1,0, 
203,870,1,1,0,1,1,0,0,1,1,0, 
204,870,1,1,0,1,1,0,0,1,1,0, 
205,872,1,1,0,1,1,0,1,0,0,0, 
206,872,1,1,0,1,1,0,1,0,0,0, 
207,872,1,1,0,1,1,0,1,0,0,0, 
208,872,1,1,0,1,1,0,1,0,0,0, 
209,872,1,1,0,1,1,0,1,0,0,0, 
210,874,1,1,0,1,1,0,1,0,1,0, 
211,874,1,1,0,1,1,0,1,0,1,0, 
212,874,1,1,0,1,1,0,1,0,1,0, 
213,874,1,1,0,1,1,0,1,0,1,0, 
214,876,1,1,0,1,1,0,1,1,0,0, 
215,876,1,1,0,1,1,0,1,1,0,0, 
216,876,1,1,0,1,1,0,1,1,0,0, 
217,876,1,1,0,1,1,0,1,1,0,0, 
218,876,1,1,0,1,1,0,1,1,0,0, 
219,878,1,1,0,1,1,0,1,1,1,0, 
220,878,1,1,0,1,1,0,1,1,1,0, 
221,878,1,1,0,1,1,0,1,1,1,0, 
222,878,1,1,0,1,1,0,1,1,1,0, 
223,878,1,1,0,1,1,0,1,1,1,0, 
224,880,1,1,0,1,1,1,0,0,0,0, 
225,880,1,1,0,1,1,1,0,0,0,0, 
226,880,1,1,0,1,1,1,0,0,0,0, 
227,880,1,1,0,1,1,1,0,0,0,0, 
228,880,1,1,0,1,1,1,0,0,0,0, 
229,882,1,1,0,1,1,1,0,0,1,0, 
230,882,1,1,0,1,1,1,0,0,1,0, 
231,882,1,1,0,1,1,1,0,0,1,0, 
232,882,1,1,0,1,1,1,0,0,1,0, 
233,882,1,1,0,1,1,1,0,0,1,0, 
234,884,1,1,0,1,1,1,0,1,0,0, 
235,884,1,1,0,1,1,1,0,1,0,0, 
236,884,1,1,0,1,1,1,0,1,0,0, 
237,884,1,1,0,1,1,1,0,1,0,0, 
238,884,1,1,0,1,1,1,0,1,0,0, 
239,886,1,1,0,1,1,1,0,1,1,0, 
240,886,1,1,0,1,1,1,0,1,1,0, 
241,886,1,1,0,1,1,1,0,1,1,0, 
242,886,1,1,0,1,1,1,0,1,1,0, 
243,886,1,1,0,1,1,1,0,1,1,0, 
244,888,1,1,0,1,1,1,1,0,0,0, 
245,888,1,1,0,1,1,1,1,0,0,0, 
246,888,1,1,0,1,1,1,1,0,0,0, 
247,888,1,1,0,1,1,1,1,0,0,0, 
248,888,1,1,0,1,1,1,1,0,0,0, 
249,890,1,1,0,1,1,1,1,0,1,0, 
250,890,1,1,0,1,1,1,1,0,1,0, 
251,890,1,1,0,1,1,1,1,0,1,0, 
252,890,1,1,0,1,1,1,1,0,1,0, 
253,890,1,1,0,1,1,1,1,0,1,0, 
254,892,1,1,0,1,1,1,1,1,0,0, 
255,892,1,1,0,1,1,1,1,1,0,0, 
256,892,1,1,0,1,1,1,1,1,0,0, 
257,892,1,1,0,1,1,1,1,1,0,0, 
258,894,1,1,0,1,1,1,1,1,1,0, 
259,894,1,1,0,1,1,1,1,1,1,0, 
260,894,1,1,0,1,1,1,1,1,1,0, 
261,894,1,1,0,1,1,1,1,1,1,0, 
262,894,1,1,0,1,1,1,1,1,1,0, 
263,896,1,1,1,0,0,0,0,0,0,0, 
264,896,1,1,1,0,0,0,0,0,0,0, 
265,896,1,1,1,0,0,0,0,0,0,0, 
266,896,1,1,1,0,0,0,0,0,0,0, 
267,896,1,1,1,0,0,0,0,0,0,0, 
268,898,1,1,1,0,0,0,0,0,1,0, 
269,898,1,1,1,0,0,0,0,0,1,0, 
270,898,1,1,1,0,0,0,0,0,1,0, 
271,898,1,1,1,0,0,0,0,0,1,0, 
272,898,1,1,1,0,0,0,0,0,1,0, 
273,900,1,1,1,0,0,0,0,1,0,0, 
274,900,1,1,1,0,0,0,0,1,0,0, 
275,900,1,1,1,0,0,0,0,1,0,0, 
276,900,1,1,1,0,0,0,0,1,0,0, 
277,900,1,1,1,0,0,0,0,1,0,0, 
278,902,1,1,1,0,0,0,0,1,1,0, 
279,902,1,1,1,0,0,0,0,1,1,0, 
280,902,1,1,1,0,0,0,0,1,1,0, 
281,902,1,1,1,0,0,0,0,1,1,0, 
282,902,1,1,1,0,0,0,0,1,1,0, 
283,904,1,1,1,0,0,0,1,0,0,0, 
284,904,1,1,1,0,0,0,1,0,0,0, 
285,904,1,1,1,0,0,0,1,0,0,0, 
286,904,1,1,1,0,0,0,1,0,0,0, 
287,904,1,1,1,0,0,0,1,0,0,0, 
288,906,1,1,1,0,0,0,1,0,1,0, 
289,906,1,1,1,0,0,0,1,0,1,0, 
290,906,1,1,1,0,0,0,1,0,1,0, 
291,906,1,1,1,0,0,0,1,0,1,0, 
292,906,1,1,1,0,0,0,1,0,1,0, 
293,908,1,1,1,0,0,0,1,1,0,0, 
294,908,1,1,1,0,0,0,1,1,0,0, 
295,908,1,1,1,0,0,0,1,1,0,0, 
296,908,1,1,1,0,0,0,1,1,0,0, 
297,910,1,1,1,0,0,0,1,1,1,0, 
298,910,1,1,1,0,0,0,1,1,1,0, 
299,910,1,1,1,0,0,0,1,1,1,0, 
300,910,1,1,1,0,0,0,1,1,1,0, 
301,910,1,1,1,0,0,0,1,1,1,0, 
302,912,1,1,1,0,0,1,0,0,0,0, 
303,912,1,1,1,0,0,1,0,0,0,0, 
304,912,1,1,1,0,0,1,0,0,0,0, 
305,912,1,1,1,0,0,1,0,0,0,0, 
306,912,1,1,1,0,0,1,0,0,0,0, 
307,914,1,1,1,0,0,1,0,0,1,0, 
308,914,1,1,1,0,0,1,0,0,1,0, 
309,914,1,1,1,0,0,1,0,0,1,0, 
310,914,1,1,1,0,0,1,0,0,1,0, 
311,914,1,1,1,0,0,1,0,0,1,0, 
312,916,1,1,1,0,0,1,0,1,0,0, 
313,916,1,1,1,0,0,1,0,1,0,0, 
314,916,1,1,1,0,0,1,0,1,0,0, 
315,916,1,1,1,0,0,1,0,1,0,0, 
316,916,1,1,1,0,0,1,0,1,0,0, 
317,918,1,1,1,0,0,1,0,1,1,0, 
318,918,1,1,1,0,0,1,0,1,1,0, 
319,918,1,1,1,0,0,1,0,1,1,0, 
320,918,1,1,1,0,0,1,0,1,1,0, 
321,918,1,1,1,0,0,1,0,1,1,0, 
322,920,1,1,1,0,0,1,1,0,0,0, 
323,920,1,1,1,0,0,1,1,0,0,0, 
324,920,1,1,1,0,0,1,1,0,0,0, 
325,920,1,1,1,0,0,1,1,0,0,0, 
326,920,1,1,1,0,0,1,1,0,0,0, 
327,922,1,1,1,0,0,1,1,0,1,0, 
328,922,1,1,1,0,0,1,1,0,1,0, 
329,922,1,1,1,0,0,1,1,0,1,0, 
330,922,1,1,1,0,0,1,1,0,1,0, 
331,922,1,1,1,0,0,1,1,0,1,0, 
332,924,1,1,1,0,0,1,1,1,0,0, 
333,924,1,1,1,0,0,1,1,1,0,0, 
334,924,1,1,1,0,0,1,1,1,0,0, 
335,924,1,1,1,0,0,1,1,1,0,0, 
336,924,1,1,1,0,0,1,1,1,0,0, 
337,926,1,1,1,0,0,1,1,1,1,0, 
338,926,1,1,1,0,0,1,1,1,1,0, 
339,926,1,1,1,0,0,1,1,1,1,0, 
340,926,1,1,1,0,0,1,1,1,1,0, 
341,928,1,1,1,0,1,0,0,0,0,0, 
342,928,1,1,1,0,1,0,0,0,0,0, 
343,928,1,1,1,0,1,0,0,0,0,0, 
344,928,1,1,1,0,1,0,0,0,0,0, 
345,928,1,1,1,0,1,0,0,0,0,0, 
346,930,1,1,1,0,1,0,0,0,1,0, 
347,930,1,1,1,0,1,0,0,0,1,0, 
348,930,1,1,1,0,1,0,0,0,1,0, 
349,930,1,1,1,0,1,0,0,0,1,0, 
350,930,1,1,1,0,1,0,0,0,1,0, 
351,932,1,1,1,0,1,0,0,1,0,0, 
352,932,1,1,1,0,1,0,0,1,0,0, 
353,932,1,1,1,0,1,0,0,1,0,0, 
354,932,1,1,1,0,1,0,0,1,0,0, 
355,932,1,1,1,0,1,0,0,1,0,0, 
356,934,1,1,1,0,1,0,0,1,1,0, 
357,934,1,1,1,0,1,0,0,1,1,0, 
358,934,1,1,1,0,1,0,0,1,1,0, 
359,934,1,1,1,0,1,0,0,1,1,0, 
360,934,1,1,1,0,1,0,0,1,1,0, 
361,936,1,1,1,0,1,0,1,0,0,0, 
362,936,1,1,1,0,1,0,1,0,0,0, 
363,936,1,1,1,0,1,0,1,0,0,0, 
364,936,1,1,1,0,1,0,1,0,0,0, 
365,936,1,1,1,0,1,0,1,0,0,0, 
366,938,1,1,1,0,1,0,1,0,1,0, 
367,938,1,1,1,0,1,0,1,0,1,0, 
368,938,1,1,1,0,1,0,1,0,1,0, 
369,938,1,1,1,0,1,0,1,0,1,0, 
370,938,1,1,1,0,1,0,1,0,1,0, 
371,940,1,1,1,0,1,0,1,1,0,0, 
372,940,1,1,1,0,1,0,1,1,0,0, 
373,940,1,1,1,0,1,0,1,1,0,0, 
374,940,1,1,1,0,1,0,1,1,0,0, 
375,940,1,1,1,0,1,0,1,1,0,0, 
376,942,1,1,1,0,1,0,1,1,1,0, 
377,942,1,1,1,0,1,0,1,1,1,0, 
378,942,1,1,1,0,1,0,1,1,1,0, 
379,942,1,1,1,0,1,0,1,1,1,0, 
380,944,1,1,1,0,1,1,0,0,0,0, 
381,944,1,1,1,0,1,1,0,0,0,0, 
382,944,1,1,1,0,1,1,0,0,0,0, 
383,944,1,1,1,0,1,1,0,0,0,0, 
384,944,1,1,1,0,1,1,0,0,0,0, 
385,946,1,1,1,0,1,1,0,0,1,0, 
386,946,1,1,1,0,1,1,0,0,1,0, 
387,946,1,1,1,0,1,1,0,0,1,0, 
388,946,1,1,1,0,1,1,0,0,1,0, 
389,946,1,1,1,0,1,1,0,0,1,0, 
390,948,1,1,1,0,1,1,0,1,0,0, 
391,948,1,1,1,0,1,1,0,1,0,0, 
392,948,1,1,1,0,1,1,0,1,0,0, 
393,948,1,1,1,0,1,1,0,1,0,0, 
394,948,1,1,1,0,1,1,0,1,0,0, 
395,950,1,1,1,0,1,1,0,1,1,0, 
396,950,1,1,1,0,1,1,0,1,1,0, 
397,950,1,1,1,0,1,1,0,1,1,0, 
398,950,1,1,1,0,1,1,0,1,1,0, 
399,950,1,1,1,0,1,1,0,1,1,0, 
400,952,1,1,1,0,1,1,1,0,0,0, 
401,952,1,1,1,0,1,1,1,0,0,0, 
402,952,1,1,1,0,1,1,1,0,0,0, 
403,952,1,1,1,0,1,1,1,0,0,0, 
404,952,1,1,1,0,1,1,1,0,0,0, 
405,954,1,1,1,0,1,1,1,0,1,0, 
406,954,1,1,1,0,1,1,1,0,1,0, 
407,954,1,1,1,0,1,1,1,0,1,0, 
408,954,1,1,1,0,1,1,1,0,1,0, 
409,954,1,1,1,0,1,1,1,0,1,0, 
410,956,1,1,1,0,1,1,1,1,0,0, 
411,956,1,1,1,0,1,1,1,1,0,0, 
412,956,1,1,1,0,1,1,1,1,0,0, 
413,956,1,1,1,0,1,1,1,1,0,0, 
414,956,1,1,1,0,1,1,1,1,0,0, 
415,958,1,1,1,0,1,1,1,1,1,0, 
416,958,1,1,1,0,1,1,1,1,1,0, 
417,958,1,1,1,0,1,1,1,1,1,0, 
418,958,1,1,1,0,1,1,1,1,1,0, 
419,958,1,1,1,0,1,1,1,1,1,0, 
420,960,1,1,1,1,0,0,0,0,0,0, 
421,960,1,1,1,1,0,0,0,0,0,0, 
422,960,1,1,1,1,0,0,0,0,0,0, 
423,960,1,1,1,1,0,0,0,0,0,0, 
424,962,1,1,1,1,0,0,0,0,1,0, 
425,962,1,1,1,1,0,0,0,0,1,0, 
426,962,1,1,1,1,0,0,0,0,1,0, 
427,962,1,1,1,1,0,0,0,0,1,0, 
428,962,1,1,1,1,0,0,0,0,1,0, 
429,964,1,1,1,1,0,0,0,1,0,0, 
430,964,1,1,1,1,0,0,0,1,0,0, 
431,964,1,1,1,1,0,0,0,1,0,0, 
432,964,1,1,1,1,0,0,0,1,0,0, 
433,964,1,1,1,1,0,0,0,1,0,0, 
434,966,1,1,1,1,0,0,0,1,1,0, 
435,966,1,1,1,1,0,0,0,1,1,0, 
436,966,1,1,1,1,0,0,0,1,1,0, 
437,966,1,1,1,1,0,0,0,1,1,0, 
438,966,1,1,1,1,0,0,0,1,1,0, 
439,968,1,1,1,1,0,0,1,0,0,0, 
440,968,1,1,1,1,0,0,1,0,0,0, 
441,968,1,1,1,1,0,0,1,0,0,0, 
442,968,1,1,1,1,0,0,1,0,0,0, 
443,968,1,1,1,1,0,0,1,0,0,0, 
444,970,1,1,1,1,0,0,1,0,1,0, 
445,970,1,1,1,1,0,0,1,0,1,0, 
446,970,1,1,1,1,0,0,1,0,1,0, 
447,970,1,1,1,1,0,0,1,0,1,0, 
448,970,1,1,1,1,0,0,1,0,1,0, 
449,972,1,1,1,1,0,0,1,1,0,0, 
450,972,1,1,1,1,0,0,1,1,0,0, 
451,972,1,1,1,1,0,0,1,1,0,0, 
452,972,1,1,1,1,0,0,1,1,0,0, 
453,972,1,1,1,1,0,0,1,1,0,0, 
454,974,1,1,1,1,0,0,1,1,1,0, 
455,974,1,1,1,1,0,0,1,1,1,0, 
456,974,1,1,1,1,0,0,1,1,1,0, 
457,974,1,1,1,1,0,0,1,1,1,0, 
458,974,1,1,1,1,0,0,1,1,1,0, 
459,976,1,1,1,1,0,1,0,0,0,0, 
460,976,1,1,1,1,0,1,0,0,0,0, 
461,976,1,1,1,1,0,1,0,0,0,0, 
462,976,1,1,1,1,0,1,0,0,0,0, 
463,978,1,1,1,1,0,1,0,0,1,0, 
464,978,1,1,1,1,0,1,0,0,1,0, 
465,978,1,1,1,1,0,1,0,0,1,0, 
466,978,1,1,1,1,0,1,0,0,1,0, 
467,978,1,1,1,1,0,1,0,0,1,0, 
468,980,1,1,1,1,0,1,0,1,0,0, 
469,980,1,1,1,1,0,1,0,1,0,0, 
470,980,1,1,1,1,0,1,0,1,0,0, 
471,980,1,1,1,1,0,1,0,1,0,0, 
472,980,1,1,1,1,0,1,0,1,0,0, 
473,982,1,1,1,1,0,1,0,1,1,0, 
474,982,1,1,1,1,0,1,0,1,1,0, 
475,982,1,1,1,1,0,1,0,1,1,0, 
476,982,1,1,1,1,0,1,0,1,1,0, 
477,982,1,1,1,1,0,1,0,1,1,0, 
478,984,1,1,1,1,0,1,1,0,0,0, 
479,984,1,1,1,1,0,1,1,0,0,0, 
480,984,1,1,1,1,0,1,1,0,0,0, 
481,984,1,1,1,1,0,1,1,0,0,0, 
482,984,1,1,1,1,0,1,1,0,0,0, 
483,986,1,1,1,1,0,1,1,0,1,0, 
484,986,1,1,1,1,0,1,1,0,1,0, 
485,986,1,1,1,1,0,1,1,0,1,0, 
486,986,1,1,1,1,0,1,1,0,1,0, 
487,986,1,1,1,1,0,1,1,0,1,0, 
488,988,1,1,1,1,0,1,1,1,0,0, 
489,988,1,1,1,1,0,1,1,1,0,0, 
490,988,1,1,1,1,0,1,1,1,0,0, 
491,988,1,1,1,1,0,1,1,1,0,0, 
492,988,1,1,1,1,0,1,1,1,0,0, 
493,990,1,1,1,1,0,1,1,1,1,0, 
494,990,1,1,1,1,0,1,1,1,1,0, 
495,990,1,1,1,1,0,1,1,1,1,0, 
496,990,1,1,1,1,0,1,1,1,1,0, 
497,990,1,1,1,1,0,1,1,1,1,0, 
498,992,1,1,1,1,1,0,0,0,0,0, 
499,992,1,1,1,1,1,0,0,0,0,0, 
500,992,1,1,1,1,1,0,0,0,0,0, 
501,992,1,1,1,1,1,0,0,0,0,0, 
502,992,1,1,1,1,1,0,0,0,0,0, 
503,994,1,1,1,1,1,0,0,0,1,0, 
504,994,1,1,1,1,1,0,0,0,1,0, 
505,994,1,1,1,1,1,0,0,0,1,0, 
506,994,1,1,1,1,1,0,0,0,1,0, 
507,996,1,1,1,1,1,0,0,1,0,0, 
508,996,1,1,1,1,1,0,0,1,0,0, 
509,996,1,1,1,1,1,0,0,1,0,0, 
510,996,1,1,1,1,1,0,0,1,0,0, 
511,996,1,1,1,1,1,0,0,1,0,0, 
512,998,1,1,1,1,1,0,0,1,1,0, 
513,998,1,1,1,1,1,0,0,1,1,0, 
514,998,1,1,1,1,1,0,0,1,1,0, 
515,998,1,1,1,1,1,0,0,1,1,0, 
516,998,1,1,1,1,1,0,0,1,1,0, 
517,1000,1,1,1,1,1,0,1,0,0,0, 
518,1000,1,1,1,1,1,0,1,0,0,0, 
519,1000,1,1,1,1,1,0,1,0,0,0, 
520,1000,1,1,1,1,1,0,1,0,0,0, 
521,1000,1,1,1,1,1,0,1,0,0,0, 
522,1002,1,1,1,1,1,0,1,0,1,0, 
523,1002,1,1,1,1,1,0,1,0,1,0, 
524,1002,1,1,1,1,1,0,1,0,1,0, 
525,1002,1,1,1,1,1,0,1,0,1,0, 
526,1002,1,1,1,1,1,0,1,0,1,0, 
527,1004,1,1,1,1,1,0,1,1,0,0, 
